date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:39:20	106994/106994	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2008:51:00%20GMT	http://smartdemowp.com/dinso/wp-content/themes/dinso/assets/css/style-2.css?ver=1606971788	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/themes/dinso/assets/css/style-2162a.css	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:20	18784/18784	---M-Z	200	added ('OK')	text/css	date:Tue,%2015%20Sep%202020%2008:51:00%20GMT	http://smartdemowp.com/dinso/wp-content/themes/dinso/assets/css/responsive.css?ver=1606971788	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/themes/dinso/assets/css/responsive162a.css	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:22	60299/60299	---M-Z	200	added ('OK')	application/json	date:Thu,%2003%20Dec%202020%2005:09:20%20GMT	http://smartdemowp.com/dinso/wp-json/wp/v2/pages/621	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-json/wp/v2/pages/621.json	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:23	2245/2245	---M-Z	200	added ('OK')	application/json	date:Thu,%2003%20Dec%202020%2005:09:21%20GMT	http://smartdemowp.com/dinso/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsmartdemowp.com%2Fdinso%2Fhome-5%2F	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-json/oembed/1.0/embed7a45.json	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:24	2333/2333	---M-Z	200	added ('OK')	text/xml	date:Thu,%2003%20Dec%202020%2005:09:22%20GMT	http://smartdemowp.com/dinso/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsmartdemowp.com%2Fdinso%2Fhome-5%2F&format=xml	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-json/oembed/1.0/embed73b5	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:24	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2003%20Dec%202020%2005:09:23%20GMT	http://smartdemowp.com/dinso/?p=621	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/indexb022.html	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:25	93532/93532	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Dec%202020%2005:09:23%20GMT	http://smartdemowp.com/dinso/home-5/	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/home-5/index.html	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:25	2203/2203	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/logo-4.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/logo-4.png	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:25	2121/2121	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/logo-small-3.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/logo-small-3.png	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:26	2121/2121	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/logo-5.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/logo-5.png	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:31	169920/169920	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/plan.png	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/plan.png	(from http://smartdemowp.com/dinso/home-4/?skin_color=blue&&header_type=3)
10:39:34	205296/205296	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/about-2.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/about-2.jpg	(from http://smartdemowp.com/dinso/home-4/?skin_color=blue&&header_type=3)
10:39:41	39472/39472	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/image-4-1.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/image-4-1.jpg	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
10:39:49	145755/145755	---M--	200	added ('OK')	image/jpeg	date:Wed,%2017%20Jun%202020%2010:30:14%20GMT	http://smartdemowp.com/dinso/wp-content/uploads/2020/03/image-4.jpg	C:/Users/AnkitaSingh/Desktop/dinso1/smartdemowp.com/dinso/wp-content/uploads/2020/03/image-4.jpg	(from http://smartdemowp.com/dinso/home-5/?skin_color=green&&header_type=4)
